LastName,FirstName,CPS210-CompSci-I,CPS310-CompSci-II,MAT320-DiscreteMath,CPS315-CompSci-III,CPS352-OOP,CPS330-Assembly.Arch.,CPS353-SoftEng,CPS415-Disc.Cont.Algorithms,CPS340-Op.Sys,CPS425-Lang.Processing,CPS493-Elect-1,CPS493-Projects,EGC230-Dig.Logic,EGC208-Dig.Logic.Lab,MAT251-Calc-I,MAT252-Calc-II,SCIENCE-I,SCIENCE-II
Rocha, Cara I.,C-,,,,,,,,,,,,,,A,,,
Hamilton, Mufutau N.,A-,,,,,,,,,,,,,,,,,
Castro, Chiquita A.,C ,,,,,,,,,,,,,,B,,,
Juarez, Edward Y.,C ,A,B,C+,B,B,C ,A,C+,B,B,C ,A,C+,C+,B,A,B
Erickson, Norman H.,B,,,,,,,,,,,,,,C-,,,
Downs, Moana C.,C-,,,,,,,,,,,,,,A,,,
Madden, Dorian S.,C-,,,,,,,,,,,,,,A-,,,
Barrera, Joan J.,,,,,,,,,,,,,,,B+,,,
Walker, Fitzgerald K.,C+,,,,,,,,,,,,,,,,,
Luna, Maxine W.,B,,,,,,,,,,,,,,B,,,
Atkins, Lars Y.,B,,,,,,,,,,,,,,C+,,,
Jones, Griffin H.,A ,,,,,,,,,,,,,,C-,,,
Booker, Zeus N.,C-,,,,,,,,,,,,,,A,,,
Mcknight, Lavinia X.,C ,,,,,,,,,,,,,,A-,,,
Benson, Vivian Z.,C+,,,,,,,,,,,,,,B+,,,
Decker, Mechelle K.,,,,,,,,,,,,,,,,,,
Sparks, Blaze I.,,,,,,,,,,,,,,,,,,
Tucker, Flynn F.,C ,,,,,,,,,,,,,,,,,
Woods, Vivian E.,,,,,,,,,,,,,,,C-,,,
Callahan, Marsden O.,,,,,,,,,,,,,,,A-,,,
Conley, Whitney Q.,,,,,,,,,,,,,,,B-,,,
Rivera, Andrew C.,B,,,,,,,,,,,,,,B,,,
Gibbs, Fatima Z.,B,A,,A,,,,,,,,,A,A,B,A,A,
Collins, Erica T.,,,,,,,,,,,,,,,,,,
Mcgee, Sandra O.,C-,,,,,,,,,,,,,,C+,,,
Campos, Velma H.,C-,,,,,,,,,,,,,,C-,,,
Vasquez, Rose B.,C+,,,,,,,,,,,,,,C-,,,
Martinez, Kiayada V.,A ,,,,,,,,,,,,,,C-,,,
Holder, Martha T.,B,,,,,,,,,,,,,,B,,,
Franco, Noel D.,,,,,,,,,,,,,,,,,,
Rutledge, Melinda G.,B,,,,,,,,,,,,,,B,,,
Mercado, Jaden J.,A ,,,,,,,,,,,,,,B,,,
Frederick, Scarlett K.,B,,,,,,,,,,,,,,B,,,
Herrera, Kuame E.,C-,,,,,,,,,,,,,,C-,,,
Reilly, Noble R.,C-,,,,,,,,,,,,,,C-,,,
Hewitt, Jack S.,C+,,,,,,,,,,,,,,C+,,,
Zamora, Keane F.,C ,,,,,,,,,,,,,,C,,,
Sutton, Fay J.,B,,,,,,,,,,,,,,,,,
Osborn, Megan K.,C ,,,,,,,,,,,,,,,,,
Contreras, Tanner F.,C ,A,B,B,B,B,C ,A-,C+,B,B,,A,C+,A,B,A,
